id,shop_name,display_name,brand_name,original_price,sale_price,image_url,rank
25,kurly,아연셀레늄 (20일분),바이오렉트라,66000.0,56100,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/c38c92d3-2a1a-4e69-acb6-f078aad9c4c5.jpg,25
26,kurly,얼박 10입 3종,동아제약,20000.0,16000,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/4d360f0e-5cc2-4973-9227-05cc1c32a310.jpg,26
27,kurly,우리아이 맑은습관 도라지배 2종 (택1),룰루맘,5900.0,5100,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/d1970351-823c-4db1-96e2-a278d615e1bb.jpg,27
28,kurly,홍삼으로 에너지타임 플러스 (100일분)(+쇼핑백증정),김정환홍삼,249000.0,59900,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/0377da12-5e4b-4db4-8ae5-0c4f6c360529.jpg,28
29,kurly,사양벌꿀 1kg,올가비오,15900.0,13900,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/a2e1587b-571d-492f-9a07-48ac250e05bf.jpg,29
30,kurly,고농축 푸룬 딥워터 (180mL X 3개입),테일러,,13500,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/a5966787-5a67-438a-a78a-0c0ccef28853.jpg,30
31,kurly,뉴케어 구수한맛 30팩,대상웰라이프,75000.0,49900,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/31754c49-fc69-476e-af96-5d93f8eb82db.jpg,31
32,kurly,아카시아 야생화 밤꿀 스틱 선물세트 30포,꿀마실,34000.0,22900,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/1c9b3651-cfea-4e95-b9fe-6ddacfe28328.jpg,32
33,kurly,고단저당 꼬박꼬밥 7개입 7종 (택1),비브리브,36000.0,20900,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/a05ea0ab-5723-4597-ab3a-8b7777d4eb0e.jpg,33
34,kurly,비타프레쉬 귤젤리 비타민C&D 3000 구미(23일분),엔젯오리진,18900.0,10800,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/7774cc43-423e-4165-bb00-47a24bfcb699.jpg,34
